feature	metadata	value	coef	stderr	pval	qval	base.model	tweedie.index	N	N.not.zero	percent.zero
ENSG00000002834	dex	untrt	-0.240360756572935	0.0500034410999424	0.0029797032868778	0.0683477896423715	CPLM	1.99	8	8	0
ENSG00000057252	dex	untrt	-0.422531761734761	0.089309999367656	0.00322097025604229	0.0683477896423715	CPLM	1.99	8	8	0
ENSG00000058063	dex	untrt	-0.219957000958366	0.046243952837993	0.00313782557495183	0.0683477896423715	CPLM	1.99	8	8	0
ENSG00000058085	dex	untrt	-0.570530950986779	0.119485620135014	0.00307892778343423	0.0683477896423715	CPLM	1.01	8	8	0
ENSG00000065526	dex	untrt	-0.421810389617417	0.08927045612793	0.00324093839189327	0.0683477896423715	CPLM	1.778	8	8	0
ENSG00000011198	dex	untrt	-0.696514640009757	0.149809757614415	0.00350616259139156	0.0694623809429201	CPLM	1.01	8	8	0
ENSG00000016391	dex	untrt	1.46048892954913	0.316411524207441	0.00363134470422388	0.0694623809429201	CPLM	1.99	8	8	0
ENSG00000022267	dex	untrt	-0.320180009439359	0.0701012673252089	0.00382097790106074	0.0694623809429201	CPLM	1.01	8	8	0
ENSG00000035681	dex	untrt	0.267387547819569	0.0587272811778781	0.00387935320334538	0.0694623809429201	CPLM	1.99	8	8	0
ENSG00000056736	dex	untrt	0.736558281145618	0.158740209659226	0.00354039546761912	0.0694623809429201	CPLM	1.99	8	8	0
ENSG00000064601	dex	untrt	0.223701192499088	0.0487855450645284	0.00374914734108785	0.0694623809429201	CPLM	1.957	8	8	0
ENSG00000064687	dex	untrt	0.593477805729078	0.129208314647359	0.00371855736779292	0.0694623809429201	CPLM	1.99	8	8	0
ENSG00000064933	dex	untrt	-0.335318551472298	0.071616453745113	0.00338837205698514	0.0694623809429201	CPLM	1.99	8	8	0
ENSG00000003096	dex	untrt	0.687828921584345	0.154969518829963	0.00438299359404873	0.0704143057213086	CPLM	1.01	8	8	0
ENSG00000003987	dex	untrt	-0.648950151828866	0.144731452772589	0.00417532374243856	0.0704143057213086	CPLM	1.387	8	8	0
ENSG00000008853	dex	untrt	-0.350159350686434	0.077518338504565	0.00402989430058179	0.0704143057213086	CPLM	1.99	8	8	0
ENSG00000010310	dex	untrt	0.822973850258658	0.185060044415915	0.00434279779186201	0.0704143057213086	CPLM	1.698	8	8	0
ENSG00000011347	dex	untrt	0.677745212126092	0.152030730035145	0.00429243015506376	0.0704143057213086	CPLM	1.99	8	8	0
ENSG00000011566	dex	untrt	-0.530068072453168	0.119768095528427	0.0044431866213826	0.0704143057213086	CPLM	1.99	8	8	0
ENSG00000048405	dex	untrt	-0.228138448212444	0.0515738915018857	0.00445400697676499	0.0704143057213086	CPLM	1.99	8	8	0
ENSG00000066322	dex	untrt	-0.338974362894505	0.0768890472518194	0.004526103950474	0.0704143057213086	CPLM	1.01	8	8	0
ENSG00000006114	dex	untrt	0.394247497493823	0.090885218283607	0.00488666418305844	0.0717064430533224	CPLM	1.99	8	8	0
ENSG00000034152	dex	untrt	-0.595987648726801	0.136231870556119	0.00469453913962889	0.0717064430533224	CPLM	1.01	8	8	0
ENSG00000048740	dex	untrt	-0.605254103047715	0.139645524674301	0.00490608937334264	0.0717064430533224	CPLM	1.99	8	8	0
ENSG00000056586	dex	untrt	-0.219959965432008	0.0507612696130952	0.00491140020913167	0.0717064430533224	CPLM	1.99	8	8	0
ENSG00000057657	dex	untrt	-0.830620879259114	0.193663911108777	0.00515460675515654	0.0730107732931874	CPLM	1.58	8	8	0
ENSG00000063127	dex	untrt	0.641001012740284	0.149385676416672	0.00514370673227294	0.0730107732931874	CPLM	1.99	8	8	0
ENSG00000061273	dex	untrt	-0.373605050710437	0.0874976829896631	0.0052637363867292	0.0734600857500884	CPLM	1.99	8	8	0
ENSG00000006837	dex	untrt	0.558498390155732	0.132367878077451	0.00556563449666546	0.0765476396715292	CPLM	1.99	8	8	0
ENSG00000017797	dex	untrt	-0.364900636259561	0.0868891228152333	0.00568825386780137	0.0771164702934786	CPLM	1.01	8	8	0
ENSG00000012822	dex	untrt	-0.250455002804625	0.0602858459424114	0.00598125804758258	0.0777563546185736	CPLM	1.99	8	8	0
ENSG00000035115	dex	untrt	0.356027553409089	0.0854928103668231	0.0059152197196701	0.0777563546185736	CPLM	1.99	8	8	0
ENSG00000042317	dex	untrt	0.255248123817818	0.0613156855992154	0.00592553240994872	0.0777563546185736	CPLM	1.99	8	8	0
ENSG00000066468	dex	untrt	1.66819220006528	0.409644647607296	0.00655884981510147	0.0841128172233959	CPLM	1.99	8	8	0
ENSG00000066422	dex	untrt	0.251438814832835	0.0620909595828546	0.00672975414028149	0.0851538223883618	CPLM	1.99	8	8	0
ENSG00000012171	dex	untrt	0.552708192646401	0.138249665942044	0.00713603860521201	0.0891065873203447	CPLM	1.99	8	8	0
ENSG00000004866	dex	untrt	0.433927178892822	0.10955806620014	0.00744574230074372	0.0891245811444441	CPLM	1.99	8	8	0
ENSG00000006634	dex	untrt	0.274462372281972	0.0692773506810983	0.00743649087979224	0.0891245811444441	CPLM	1.144	8	8	0
ENSG00000029993	dex	untrt	0.296520955618587	0.0755318587619674	0.00775032786539492	0.0891245811444441	CPLM	1.99	8	8	0
ENSG00000033327	dex	untrt	-0.221088009543604	0.0561391572914741	0.00764028645776381	0.0891245811444441	CPLM	1.99	8	8	0
ENSG00000034533	dex	untrt	0.478510559594928	0.121703938642385	0.00769716291346673	0.0891245811444441	CPLM	1.01	8	8	0
ENSG00000044446	dex	untrt	-0.171528921520828	0.0435479086546571	0.00763465832602058	0.0891245811444441	CPLM	1.01	8	8	0
ENSG00000063169	dex	untrt	-0.297651730125874	0.0759162145237627	0.00779487906742767	0.0891245811444441	CPLM	1.99	8	8	0
ENSG00000054965	dex	untrt	0.195234336629719	0.0503338067845887	0.00818213484432178	0.0924386424673973	CPLM	1.01	8	8	0
ENSG00000006025	dex	untrt	0.714846737746253	0.185575920978213	0.00843990044154802	0.0926563656446353	CPLM	1.01	8	8	0
ENSG00000025423	dex	untrt	1.52127489790407	0.39350849774219	0.00830500657458978	0.0926563656446353	CPLM	1.99	8	8	0
ENSG00000066697	dex	untrt	0.504060995324107	0.131043558310955	0.00849431381568311	0.0926563656446353	CPLM	1.99	8	8	0
ENSG00000037637	dex	untrt	-0.211483317426709	0.055510499053491	0.00886575988410031	0.095609160568309	CPLM	1.99	8	8	0
ENSG00000008294	dex	untrt	0.0564202198587073	0.0148819051614084	0.00906068401353923	0.0966133609983004	CPLM	1.99	8	8	0
ENSG00000048052	dex	untrt	0.365371175384138	0.0972293297344664	0.0094225553901083	0.0993556118356975	CPLM	1.99	8	8	0
ENSG00000011485	dex	untrt	-0.359035598133012	0.0959571162163293	0.00960405394663516	0.100156562586338	CPLM	1.01	8	8	0
ENSG00000064201	dex	untrt	1.13010457240492	0.303544141737254	0.00981712811424977	0.101265810656772	CPLM	1.99	8	8	0
ENSG00000009724	dex	untrt	0.319604456064564	0.0863618360261399	0.0100792928811664	0.101757967491776	CPLM	1.99	8	8	0
ENSG00000014914	dex	untrt	0.359214509581619	0.0968486868361386	0.00998107384857175	0.101757967491776	CPLM	1.01	8	8	0
ENSG00000065665	dex	untrt	0.350631866744199	0.0954576035497049	0.0104149163983157	0.104039533284228	CPLM	1.99	8	8	0
ENSG00000001626	dex	untrt	0.785043132171472	0.217271527036742	0.0111880893496497	0.10822624109382	CPLM	1.546	8	8	0
ENSG00000060718	dex	untrt	-1.61554833710518	0.446417506719263	0.011111560467904	0.10822624109382	CPLM	1.99	8	8	0
ENSG00000064393	dex	untrt	-0.413786209048266	0.113972267906252	0.0109574676476316	0.10822624109382	CPLM	1.01	8	8	0
ENSG00000066136	dex	untrt	0.224417719169006	0.0622412147443439	0.0112901979644765	0.10822624109382	CPLM	1.01	8	8	0
ENSG00000006576	dex	untrt	0.337398501987937	0.0941084845914929	0.0115703634289088	0.109068178008193	CPLM	1.99	8	8	0
ENSG00000007944	dex	untrt	0.378184054177379	0.105563792997845	0.011607888281167	0.109068178008193	CPLM	1.99	8	8	0
ENSG00000028137	dex	untrt	-0.535828155123545	0.151173847304005	0.0121533108899149	0.113073451318914	CPLM	1.052	8	8	0
ENSG00000011258	dex	untrt	0.248382237347749	0.0705552823110833	0.0125126028882074	0.115286020785522	CPLM	1.99	8	8	0
ENSG00000019991	dex	untrt	0.705450552252848	0.201953221448492	0.0129338517817011	0.115809105696022	CPLM	1.9	8	8	0
ENSG00000027001	dex	untrt	0.269103500158758	0.0770400168526555	0.0129354743980804	0.115809105696022	CPLM	1.99	8	8	0
ENSG00000062716	dex	untrt	-0.325548100733574	0.0928894599267434	0.012753529409658	0.115809105696022	CPLM	1.01	8	8	0
ENSG00000005471	dex	untrt	0.873434588994677	0.251811568244929	0.0133264932761409	0.117341505378599	CPLM	1.99	8	8	0
ENSG00000026025	dex	untrt	0.334212431851231	0.0964004096608166	0.0133539331726962	0.117341505378599	CPLM	1.01	8	8	0
ENSG00000010626	dex	untrt	0.20706720220408	0.0604937907726619	0.0140925946753534	0.122696076577159	CPLM	1.01	8	8	0
ENSG00000057935	dex	untrt	0.174548347143686	0.0511494882197104	0.014274444705191	0.123149527502057	CPLM	1.99	8	8	0
ENSG00000028277	dex	untrt	1.44096648075338	0.424451282115837	0.0145874087905614	0.12471577425444	CPLM	1.809	8	8	0
ENSG00000011028	dex	untrt	0.190062202577537	0.0561440042083409	0.0147616232864361	0.125078397310963	CPLM	1.99	8	8	0
ENSG00000005249	dex	untrt	-0.402213843647149	0.120305578096643	0.0155485617857107	0.128309435953386	CPLM	1.99	8	8	0
ENSG00000034713	dex	untrt	-0.214588231430968	0.0641157897412711	0.0154789903922806	0.128309435953386	CPLM	1.01	8	8	0
ENSG00000054118	dex	untrt	0.167491930482871	0.0499050074263793	0.0153011454119615	0.128309435953386	CPLM	1.99	8	8	0
ENSG00000001036	dex	untrt	0.215923172325039	0.0659401945211485	0.0169379845511069	0.133753566889132	CPLM	1.01	8	8	0
ENSG00000001617	dex	untrt	0.21576439236756	0.0655881614526315	0.0166203409139096	0.133753566889132	CPLM	1.44	8	8	0
ENSG00000005100	dex	untrt	-0.215176518981774	0.0656413550851977	0.0168633433258531	0.133753566889132	CPLM	1.923	8	8	0
ENSG00000006638	dex	untrt	0.47572384332565	0.145345912621071	0.0169694563862148	0.133753566889132	CPLM	1.99	8	8	0
ENSG00000011454	dex	untrt	-0.264281075421668	0.0807068103326411	0.0169368901836348	0.133753566889132	CPLM	1.01	8	8	0
ENSG00000038427	dex	untrt	0.256658989690589	0.0785111702883692	0.017053932132334	0.133753566889132	CPLM	1.01	8	8	0
ENSG00000065491	dex	untrt	0.313827052737921	0.0963404236103109	0.0173033313153126	0.134597224739604	CPLM	1.01	8	8	0
ENSG00000023608	dex	untrt	-0.475966303608588	0.147077285574939	0.0177722859078789	0.134927194612617	CPLM	1.99	8	8	0
ENSG00000064652	dex	untrt	-0.341054591280312	0.105207275091322	0.0176483047176903	0.134927194612617	CPLM	1.99	8	8	0
ENSG00000066279	dex	untrt	0.460894241385296	0.142311121416793	0.0177171576392617	0.134927194612617	CPLM	1.99	8	8	0
ENSG00000004487	dex	untrt	0.243039762685189	0.0755890757519944	0.0182453631226232	0.136092024185044	CPLM	1.99	8	8	0
ENSG00000012660	dex	untrt	-0.250745642844436	0.0780927161312648	0.018346881502516	0.136092024185044	CPLM	1.01	8	8	0
ENSG00000035664	dex	untrt	-1.04078681633904	0.324558966072404	0.0184418846435766	0.136092024185044	CPLM	1.302	8	8	0
ENSG00000050393	dex	untrt	-0.243524810735968	0.0759992524456429	0.0184993373233621	0.136092024185044	CPLM	1.99	8	8	0
ENSG00000031823	dex	untrt	0.288426213468816	0.0906228075484344	0.0190106060005598	0.138777423804087	CPLM	1.01	8	8	0
ENSG00000049239	dex	untrt	-0.233755181361338	0.0737148646997665	0.0192925505245407	0.139760537769383	CPLM	1.01	8	8	0
ENSG00000038274	dex	untrt	-0.317232622715106	0.100530420591381	0.0196747582717852	0.140386057142287	CPLM	1.01	8	8	0
ENSG00000046653	dex	untrt	-1.75639713876738	0.555740210921198	0.0195535149245549	0.140386057142287	CPLM	1.99	8	8	0
ENSG00000010278	dex	untrt	-0.356909771610204	0.11397521711	0.0202866990490573	0.142724310309614	CPLM	1.99	8	8	0
ENSG00000013523	dex	untrt	0.242248911347952	0.0774087065986516	0.0203380895746335	0.142724310309614	CPLM	1.01	8	8	0
ENSG00000054938	dex	untrt	0.88641791691717	0.283651401091746	0.0204536419411038	0.142724310309614	CPLM	1.01	8	8	0
ENSG00000008083	dex	untrt	-0.268558003928818	0.0865204035606229	0.0210093877561333	0.143438194104824	CPLM	1.99	8	8	0
ENSG00000008710	dex	untrt	-0.338901278472773	0.109053777995896	0.0209113301962373	0.143438194104824	CPLM	1.01	8	8	0
ENSG00000017260	dex	untrt	0.141071015730946	0.0453550246513712	0.0208389521400536	0.143438194104824	CPLM	1.99	8	8	0
ENSG00000066855	dex	untrt	-0.228458848074373	0.0738208299986674	0.021257799613149	0.144097513091989	CPLM	1.99	8	8	0
ENSG00000066135	dex	untrt	0.232758339217332	0.075460173182129	0.0215381960619483	0.144962752218361	CPLM	1.01	8	8	0
ENSG00000053747	dex	untrt	-0.586317711373588	0.194047574603089	0.0233515053254788	0.156060412351263	CPLM	1.01	8	8	0
ENSG00000055163	dex	untrt	0.738110969782024	0.247180844608029	0.0244425484403519	0.162209639649608	CPLM	1.941	8	8	0
ENSG00000004700	dex	untrt	-0.211400550326822	0.0715208038119189	0.0254212819982034	0.164784459044476	CPLM	1.01	8	8	0
ENSG00000015520	dex	untrt	1.81697986911173	0.615794389275702	0.0255921161902821	0.164784459044476	CPLM	1.772	8	8	0
ENSG00000025708	dex	untrt	-0.856101074639265	0.290344169687281	0.0256604239351455	0.164784459044476	CPLM	1.99	8	8	0
ENSG00000047932	dex	untrt	0.163731808449187	0.0554793036915578	0.0255723446232369	0.164784459044476	CPLM	1.01	8	8	0
ENSG00000062194	dex	untrt	0.146286810346739	0.0496320925194545	0.0256987354463461	0.164784459044476	CPLM	1.99	8	8	0
ENSG00000061794	dex	untrt	-0.132779709259286	0.0452806905350393	0.0262062209627716	0.166910763044767	CPLM	1.99	8	8	0
ENSG00000001629	dex	untrt	0.191590211332388	0.0659956202586355	0.0272250834042751	0.167195605291443	CPLM	1.99	8	8	0
ENSG00000010256	dex	untrt	-0.296420221366419	0.10188130972634	0.0269991916923075	0.167195605291443	CPLM	1.477	8	8	0
ENSG00000017483	dex	untrt	0.631860776592794	0.21596492176275	0.0264325576247581	0.167195605291443	CPLM	1.01	8	8	0
ENSG00000051382	dex	untrt	-0.229616663795641	0.0786455317359143	0.0266437787268732	0.167195605291443	CPLM	1.01	8	8	0
ENSG00000059691	dex	untrt	0.221328620730719	0.0763006885535067	0.0273080282615107	0.167195605291443	CPLM	1.99	8	8	0
ENSG00000065802	dex	untrt	-0.198593443912253	0.0684269806680317	0.0272537327951234	0.167195605291443	CPLM	1.01	8	8	0
ENSG00000031081	dex	untrt	0.512329919913292	0.176990250665352	0.0275249215580622	0.167443272811545	CPLM	1.99	8	8	0
ENSG00000003756	dex	untrt	0.168497799656141	0.0587291944557248	0.0284619402485199	0.172040645196468	CPLM	1.544	8	8	0
ENSG00000060138	dex	untrt	-0.300365741665918	0.10488709952481	0.0286622737820733	0.172155049488529	CPLM	1.01	8	8	0
ENSG00000009780	dex	untrt	-0.374340298989771	0.131683689020867	0.0294614720738396	0.175842371057068	CPLM	1.99	8	8	0
ENSG00000007866	dex	untrt	-0.382304383703197	0.135332268232924	0.0301579774752258	0.177588793416565	CPLM	1.99	8	8	0
ENSG00000048162	dex	untrt	-0.344004026251997	0.122349822475682	0.0306897387990692	0.177588793416565	CPLM	1.99	8	8	0
ENSG00000054277	dex	untrt	-0.535671575211234	0.18928381310328	0.0299581060391927	0.177588793416565	CPLM	1.01	8	8	0
ENSG00000058056	dex	untrt	-0.220512990812728	0.0784150444194458	0.0306702335775826	0.177588793416565	CPLM	1.99	8	8	0
ENSG00000058262	dex	untrt	0.219112727846942	0.0778223977543339	0.0305324194362695	0.177588793416565	CPLM	1.01	8	8	0
ENSG00000063660	dex	untrt	0.330667156025315	0.117992124421584	0.0310634675269229	0.178662004139696	CPLM	1.99	8	8	0
ENSG00000013392	dex	untrt	0.207011966404096	0.0746130491460143	0.0322313738757907	0.182951343075333	CPLM	1.01	8	8	0
ENSG00000037749	dex	untrt	-0.131131960049006	0.0474029555363629	0.0325803761641003	0.182951343075333	CPLM	1.99	8	8	0
ENSG00000058272	dex	untrt	-0.186497750359698	0.0673317885502751	0.0324296697859746	0.182951343075333	CPLM	1.99	8	8	0
ENSG00000065833	dex	untrt	0.4911207593817	0.177303923245228	0.0324251598386781	0.182951343075333	CPLM	1.99	8	8	0
ENSG00000002919	dex	untrt	-0.228008010618565	0.0826894241210728	0.0329671270287222	0.182957915498581	CPLM	1.01	8	8	0
ENSG00000004059	dex	untrt	-0.23730680071179	0.0859600488819394	0.0328251816300095	0.182957915498581	CPLM	1.01	8	8	0
ENSG00000004799	dex	untrt	-1.72483738462867	0.629826145124308	0.0337986802448917	0.185790051819484	CPLM	1.99	8	8	0
ENSG00000049883	dex	untrt	0.222752102401946	0.0814630624170587	0.0339873640311267	0.185790051819484	CPLM	1.99	8	8	0
ENSG00000054179	dex	untrt	1.64134427510696	0.600635704181569	0.0340647724094734	0.185790051819484	CPLM	1.01	8	6	25
ENSG00000005812	dex	untrt	-0.28748759107117	0.105805116194598	0.0347744877843623	0.18746465165914	CPLM	1.99	8	8	0
ENSG00000013583	dex	untrt	-0.221078102559826	0.0814716672563557	0.0349404738496672	0.18746465165914	CPLM	1.01	8	8	0
ENSG00000060762	dex	untrt	-0.281192773190155	0.103644817959507	0.0349644292346341	0.18746465165914	CPLM	1.99	8	8	0
ENSG00000048540	dex	untrt	-0.962783186932602	0.357556230146603	0.0359244322347025	0.190649799208337	CPLM	1.99	8	8	0
ENSG00000059145	dex	untrt	-0.159828208052332	0.0595577424851798	0.0363620797225595	0.190649799208337	CPLM	1.01	8	8	0
ENSG00000065150	dex	untrt	0.133044125787183	0.0495575384384155	0.0363109852586394	0.190649799208337	CPLM	1.99	8	8	0
ENSG00000065600	dex	untrt	0.177106619574327	0.0659413712402349	0.0362539538812753	0.190649799208337	CPLM	1.99	8	8	0
ENSG00000019186	dex	untrt	3.07232565320753	1.15080512537807	0.0370404874107181	0.193139684355887	CPLM	1.459	8	6	25
ENSG00000049541	dex	untrt	0.274307638164935	0.103835734042707	0.0384505486191491	0.198592930763743	CPLM	1.01	8	8	0
ENSG00000064012	dex	untrt	0.157074774348721	0.0594824547618867	0.0385048464283759	0.198592930763743	CPLM	1.01	8	8	0
ENSG00000051180	dex	untrt	-0.56952134829857	0.216088968068234	0.03876862169898	0.198872551309903	CPLM	1.01	8	8	0
ENSG00000006788	dex	untrt	-2.15379261534777	0.823601360791706	0.0398475071052702	0.202220771352414	CPLM	1.36	8	6	25
ENSG00000058799	dex	untrt	-0.24016879488641	0.0918013387111407	0.0397894129212835	0.202220771352414	CPLM	1.99	8	8	0
ENSG00000063854	dex	untrt	-0.145032614893982	0.0557047673341844	0.0404666259072293	0.20427036162745	CPLM	1.99	8	8	0
ENSG00000018189	dex	untrt	0.250600415406228	0.0972194357343168	0.0419000485749077	0.209448783917758	CPLM	1.99	8	8	0
ENSG00000040731	dex	untrt	1.28431999779965	0.499130846141353	0.0421580918194459	0.209448783917758	CPLM	1.835	8	8	0
ENSG00000054392	dex	untrt	0.208272198854342	0.0810620719454005	0.042375307178303	0.209448783917758	CPLM	1.99	8	8	0
ENSG00000059588	dex	untrt	0.246783291053876	0.0958514150164171	0.0420713478160449	0.209448783917758	CPLM	1.462	8	8	0
ENSG00000061676	dex	untrt	-0.139919797079291	0.0548134011189559	0.0433352010384857	0.213083449665922	CPLM	1.99	8	8	0
ENSG00000063180	dex	untrt	0.409520723459694	0.161114105791753	0.0439737075067339	0.215108497030363	CPLM	1.01	8	8	0
ENSG00000004846	dex	untrt	1.30544074655073	0.517692366968697	0.0451860652547441	0.215689951766595	CPLM	1.99	8	8	0
ENSG00000033178	dex	untrt	0.198559383400217	0.0784246352116569	0.044568298434352	0.215689951766595	CPLM	1.99	8	8	0
ENSG00000047056	dex	untrt	-0.159544296677572	0.0629738799498574	0.0444691754270335	0.215689951766595	CPLM	1.99	8	8	0
ENSG00000048342	dex	untrt	0.313491196641231	0.124102836546464	0.0449179840550324	0.215689951766595	CPLM	1.14	8	8	0
ENSG00000061936	dex	untrt	0.0985169195270646	0.0390792730821864	0.0452289782945757	0.215689951766595	CPLM	1.01	8	8	0
ENSG00000013619	dex	untrt	-0.20189531834296	0.0802827477616344	0.0456061850548409	0.21640134808522	CPLM	1.01	8	8	0
ENSG00000064225	dex	untrt	0.372325610228543	0.14864497649859	0.0462272551762972	0.218257040608488	CPLM	1.01	8	8	0
ENSG00000008441	dex	untrt	0.260813095179278	0.104679218255669	0.0470636125935501	0.221105783917223	CPLM	1.497	8	8	0
ENSG00000065485	dex	untrt	0.14887773426628	0.0599623953981891	0.0476210077041506	0.222622346360783	CPLM	1.99	8	8	0
ENSG00000010818	dex	untrt	0.276335286312529	0.111478073529987	0.0478811338054655	0.222741156771504	CPLM	1.99	8	8	0
ENSG00000028528	dex	untrt	0.0860650690267291	0.0349011951687605	0.0487237013658556	0.225555085835107	CPLM	1.99	8	8	0
ENSG00000020129	dex	untrt	0.354650689285337	0.14434489461108	0.0493220360547514	0.227216564155141	CPLM	1.01	8	8	0
ENSG00000010322	dex	untrt	0.218172763187546	0.0891466286808921	0.049970437114693	0.229091520878472	CPLM	1.99	8	8	0
ENSG00000000003	dex	untrt	0.298132575191041	0.122814512709399	0.0513364735529696	0.22980336510268	CPLM	1.99	8	8	0
ENSG00000008282	dex	untrt	-0.152798401482767	0.0628909649770232	0.0511919182491641	0.22980336510268	CPLM	1.01	8	8	0
ENSG00000015285	dex	untrt	0.932171764962963	0.383639190003247	0.051175398316226	0.22980336510268	CPLM	1.152	8	8	0
ENSG00000021645	dex	untrt	-1.25776322086265	0.515665294261654	0.0505329253217017	0.22980336510268	CPLM	1.99	8	8	0
ENSG00000052126	dex	untrt	0.242906772510477	0.0998916264603539	0.0510441018028548	0.22980336510268	CPLM	1.99	8	8	0
